Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
04_P_24_S4_L001_I1_001	04_P_24_S4_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69097471.0	0.0	10.0	69.0	5.065308396019299e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
04_P_24_S4_L001_I2_001	04_P_24_S4_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69097471.0	0.0	10.0	59.0	5.065308396019299e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
04_P_24_S4_L002_I1_001	04_P_24_S4_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68232954.0	0.0	10.0	69.0	5.129486259674467e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
04_P_24_S4_L002_I2_001	04_P_24_S4_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68232954.0	0.0	10.0	59.0	5.276043009950881e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
04_P_24_S4_L003_I1_001	04_P_24_S4_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63996523.0	0.0	10.0	69.0	5.4690471230757337e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
04_P_24_S4_L003_I2_001	04_P_24_S4_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63996523.0	0.0	10.0	59.0	5.781564101537204e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
04_P_24_S4_L004_I1_001	04_P_24_S4_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62590559.0	0.0	10.0	69.0	5.7516661578306084e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
04_P_24_S4_L004_I2_001	04_P_24_S4_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62590559.0	0.0	10.0	59.0	5.911434662214792e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
05_V_21_S5_L001_I1_001	05_V_21_S5_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76472248.0	0.0	10.0	69.0	4.576823738724145e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
05_V_21_S5_L001_I2_001	05_V_21_S5_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76472248.0	0.0	10.0	50.0	4.7075901312591204e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
05_V_21_S5_L002_I1_001	05_V_21_S5_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75573698.0	0.0	10.0	69.0	4.631240884890931e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
05_V_21_S5_L002_I2_001	05_V_21_S5_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75573698.0	0.0	10.0	49.0	4.7635620530306725e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
05_V_21_S5_L003_I1_001	05_V_21_S5_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71083440.0	0.0	10.0	69.0	4.923790970161264e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
05_V_21_S5_L003_I2_001	05_V_21_S5_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71083440.0	0.0	10.0	49.0	5.205150454170479e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
05_V_21_S5_L004_I1_001	05_V_21_S5_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69529219.0	0.0	10.0	69.0	5.177679329319088e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
05_V_21_S5_L004_I2_001	05_V_21_S5_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69529219.0	0.0	10.0	49.0	5.321503755133507e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
06_V_22_S6_L001_I1_001	06_V_22_S6_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80626246.0	0.0	10.0	29.0	4.3410181840786684e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
06_V_22_S6_L001_I2_001	06_V_22_S6_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80626246.0	0.0	10.0	30.0	4.3410181840786684e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
06_V_22_S6_L002_I1_001	06_V_22_S6_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79610954.0	0.0	10.0	29.0	4.396379925305254e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
06_V_22_S6_L002_I2_001	06_V_22_S6_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79610954.0	0.0	10.0	30.0	4.521990780313975e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
06_V_22_S6_L003_I1_001	06_V_22_S6_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74561753.0	0.0	10.0	29.0	4.694095644451922e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
06_V_22_S6_L003_I2_001	06_V_22_S6_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74561753.0	0.0	10.0	30.0	4.9623296812777456e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
06_V_22_S6_L004_I1_001	06_V_22_S6_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73126524.0	0.0	10.0	29.0	4.9229743232428224e-05	10.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
06_V_22_S6_L004_I2_001	06_V_22_S6_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73126524.0	0.0	10.0	30.0	5.059723609999567e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
07_V_23_S7_L001_I1_001	07_V_23_S7_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87061394.0	0.0	10.0	39.0	4.0201515725787715e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
07_V_23_S7_L001_I2_001	07_V_23_S7_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87061394.0	0.0	10.0	50.0	4.0201515725787715e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
07_V_23_S7_L002_I1_001	07_V_23_S7_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85792782.0	0.0	10.0	39.0	4.079597278941252e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
07_V_23_S7_L002_I2_001	07_V_23_S7_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85792782.0	0.0	10.0	50.0	4.196157201196716e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
07_V_23_S7_L003_I1_001	07_V_23_S7_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79771423.0	0.0	10.0	39.0	4.3875361230549944e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
07_V_23_S7_L003_I2_001	07_V_23_S7_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79771423.0	0.0	10.0	50.0	4.638252472943851e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
07_V_23_S7_L004_I1_001	07_V_23_S7_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78170830.0	0.0	10.0	39.0	4.605298421418834e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
07_V_23_S7_L004_I2_001	07_V_23_S7_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78170830.0	0.0	10.0	50.0	4.733223377569357e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
08_V_24_S8_L001_I1_001	08_V_24_S8_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73365492.0	0.0	10.0	59.0	4.770635219075475e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
08_V_24_S8_L001_I2_001	08_V_24_S8_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73365492.0	0.0	10.0	40.0	4.770635219075475e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
08_V_24_S8_L002_I1_001	08_V_24_S8_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72178078.0	0.0	10.0	59.0	4.84911776121276e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
08_V_24_S8_L002_I2_001	08_V_24_S8_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72178078.0	0.0	10.0	40.0	4.987663982961697e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
08_V_24_S8_L003_I1_001	08_V_24_S8_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67129279.0	0.0	10.0	59.0	5.2138203361308256e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
08_V_24_S8_L003_I2_001	08_V_24_S8_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67129279.0	0.0	10.0	40.0	5.511752926766873e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
08_V_24_S8_L004_I1_001	08_V_24_S8_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65561019.0	0.0	10.0	59.0	5.4910677944160684e-05	10.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
08_V_24_S8_L004_I2_001	08_V_24_S8_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65561019.0	0.0	10.0	40.0	5.6435974553720707e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
09_P_25_S9_L001_I1_001	09_P_25_S9_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72425507.0	0.0	10.0	39.0	4.832551603677417e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
09_P_25_S9_L001_I2_001	09_P_25_S9_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72425507.0	0.0	10.0	49.0	4.832551603677417e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
09_P_25_S9_L002_I1_001	09_P_25_S9_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71176909.0	0.0	10.0	39.0	4.917325083616655e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
09_P_25_S9_L002_I2_001	09_P_25_S9_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71176909.0	0.0	10.0	49.0	5.057820086005701e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
09_P_25_S9_L003_I1_001	09_P_25_S9_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65951146.0	0.0	10.0	39.0	5.306958578096581e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
09_P_25_S9_L003_I2_001	09_P_25_S9_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65951146.0	0.0	10.0	49.0	5.610213353987814e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
09_P_25_S9_L004_I1_001	09_P_25_S9_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64382502.0	0.0	10.0	39.0	5.5915813896142155e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
09_P_25_S9_L004_I2_001	09_P_25_S9_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64382502.0	0.0	10.0	49.0	5.746903094881277e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
10_P_26_S10_L001_I1_001	10_P_26_S10_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79433139.0	0.0	10.0	50.0	4.406221438636587e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
10_P_26_S10_L001_I2_001	10_P_26_S10_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79433139.0	0.0	10.0	40.0	4.406221438636587e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
10_P_26_S10_L002_I1_001	10_P_26_S10_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78282928.0	0.0	10.0	50.0	4.470962046795184e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
10_P_26_S10_L002_I2_001	10_P_26_S10_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78282928.0	0.0	10.0	40.0	4.5987038195607605e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
10_P_26_S10_L003_I1_001	10_P_26_S10_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73036750.0	0.0	10.0	50.0	4.7921080825748686e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
10_P_26_S10_L003_I2_001	10_P_26_S10_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73036750.0	0.0	10.0	40.0	5.065942830150574e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
10_P_26_S10_L004_I1_001	10_P_26_S10_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71284752.0	0.0	10.0	50.0	5.0501683726135425e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
10_P_26_S10_L004_I2_001	10_P_26_S10_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71284752.0	0.0	10.0	40.0	5.190450827408364e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
11_V_25_S11_L001_I1_001	11_V_25_S11_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72088545.0	0.0	10.0	49.0	4.8551403000296366e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
11_V_25_S11_L001_I2_001	11_V_25_S11_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72088545.0	0.0	10.0	70.0	4.8551403000296366e-05	10.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	warn
11_V_25_S11_L002_I1_001	11_V_25_S11_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71002098.0	0.0	10.0	49.0	4.929431803550369e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
11_V_25_S11_L002_I2_001	11_V_25_S11_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71002098.0	0.0	10.0	70.0	5.070272712223236e-05	10.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	warn
11_V_25_S11_L003_I1_001	11_V_25_S11_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66430506.0	0.0	10.0	49.0	5.2686637672156225e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
11_V_25_S11_L003_I2_001	11_V_25_S11_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66430506.0	0.0	10.0	70.0	5.569730268199372e-05	10.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	warn
11_V_25_S11_L004_I1_001	11_V_25_S11_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64912650.0	0.0	10.0	49.0	5.54591439418973e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
11_V_25_S11_L004_I2_001	11_V_25_S11_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64912650.0	0.0	10.0	70.0	5.6999675718061116e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
12_V_26_S12_L001_I1_001	12_V_26_S12_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72855693.0	0.0	10.0	49.0	4.804017168569106e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
12_V_26_S12_L001_I2_001	12_V_26_S12_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72855693.0	0.0	10.0	59.0	4.804017168569106e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
12_V_26_S12_L002_I1_001	12_V_26_S12_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71689033.0	0.0	10.0	49.0	4.882197253239557e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
12_V_26_S12_L002_I2_001	12_V_26_S12_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71689033.0	0.0	10.0	59.0	5.021688603332116e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
12_V_26_S12_L003_I1_001	12_V_26_S12_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66612722.0	0.0	10.0	49.0	5.254251582753217e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
12_V_26_S12_L003_I2_001	12_V_26_S12_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66612722.0	0.0	10.0	59.0	5.554494530339114e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
12_V_26_S12_L004_I1_001	12_V_26_S12_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64959849.0	0.0	10.0	49.0	5.541884803334441e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
12_V_26_S12_L004_I2_001	12_V_26_S12_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64959849.0	0.0	10.0	59.0	5.6958260478715094e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
13_P_27_S13_L001_I1_001	13_P_27_S13_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89852300.0	0.0	10.0	69.0	3.895281478604332e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
13_P_27_S13_L001_I2_001	13_P_27_S13_L001_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89852300.0	0.0	10.0	39.0	4.006575235135884e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
13_P_27_S13_L002_I1_001	13_P_27_S13_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88308748.0	0.0	10.0	69.0	3.963367253264648e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
13_P_27_S13_L002_I2_001	13_P_27_S13_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88308748.0	0.0	10.0	39.0	4.076606317643638e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
13_P_27_S13_L003_I1_001	13_P_27_S13_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82364793.0	0.0	10.0	69.0	4.249388449261325e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
13_P_27_S13_L003_I2_001	13_P_27_S13_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82364793.0	0.0	10.0	39.0	4.4922106463619714e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
13_P_27_S13_L004_I1_001	13_P_27_S13_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80588992.0	0.0	10.0	69.0	4.467111339474254e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
13_P_27_S13_L004_I2_001	13_P_27_S13_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80588992.0	0.0	10.0	39.0	4.591197765570762e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
14_P_28_S14_L001_I1_001	14_P_28_S14_L001_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63512662.0	0.0	10.0	39.0	5.5107121789352806e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
